Metric,Vaccine,Summary
Developer(s),Anhui Zhifei Longcom Biopharmaceutical ZF2001,"Anhui Zhifei Longcom Biopharmaceutical, Chinese Academy of Sciences"
Platform,Anhui Zhifei Longcom Biopharmaceutical ZF2001,Protein subunit
Dosing,Anhui Zhifei Longcom Biopharmaceutical ZF2001,"2/3 doses, intramuscular"
Description,Anhui Zhifei Longcom Biopharmaceutical ZF2001,Adjuvanted recombinant protein vaccine targeting SARS-CoV-2 receptor binding domain (RBD)
Published results,Anhui Zhifei Longcom Biopharmaceutical ZF2001,Phase I/II - see <b>Living review</b>
Efficacy data,Anhui Zhifei Longcom Biopharmaceutical ZF2001,Pending
Storage requirements,Anhui Zhifei Longcom Biopharmaceutical ZF2001,Pending - refrigeration (2°C to 8°C) is typical for protein subunit vaccines
"<a href=""https://www.one.org/international/vaccine-access-test/"" target=""_blank"">ONE Vaccine Access Test score</a>",Anhui Zhifei Longcom Biopharmaceutical ZF2001,No score available
Manufacture projections,Anhui Zhifei Longcom Biopharmaceutical ZF2001,Pending
Approval status,Anhui Zhifei Longcom Biopharmaceutical ZF2001,Emergency use in China and Uzbekistan
,,
Developer(s),Bharat Covaxin/BBV152,"Bharat Biotech, ICMR, National Institute of Virology"
Platform,Bharat Covaxin/BBV152,Inactivated
Dosing,Bharat Covaxin/BBV152,"2 doses, intramuscular"
Description,Bharat Covaxin/BBV152,Inactivated vaccine administered with imidazoquinoline adjuvant (TLR7/8 agonist)
Published results,Bharat Covaxin/BBV152,"Phase I, phase II - see <b>Living review</b>"
Efficacy data,Bharat Covaxin/BBV152,"Vaccine efficacy against COVID-19 reported to be 81% in a press release on <a href=""https://www.bharatbiotech.com/images/press/covaxin-phase3-efficacy-results.pdf"";  target=""_blank"">03 Mar 2021</a>); estimates based on 43 confirmed cases"
Storage requirements,Bharat Covaxin/BBV152,Refrigeration (2°C to 8°C)
"<a href=""https://www.one.org/international/vaccine-access-test/"" target=""_blank"">ONE Vaccine Access Test score</a>",Bharat Covaxin/BBV152,No score available
Manufacture projections,Bharat Covaxin/BBV152,"Up to 700 million doses in 2021 according to media reports (<a href=""https://uk.reuters.com/article/us-health-coronavirus-india-vaccine/indias-bharat-biotech-aims-to-make-700-million-doses-of-covid-19-vaccine-in-2021-idUSKBN2991JD"" target=""_blank"">04 Jan 2021</a>) "
Approval status,Bharat Covaxin/BBV152,"Emergency use in India, Iran, and Zimbabwe"
,,
Developer(s),BioNTech/Pfizer BNT162b2,"BioNTech, Pfizer, Fosun Pharma"
Platform,BioNTech/Pfizer BNT162b2,RNA
Dosing,BioNTech/Pfizer BNT162b2,"2 doses, intramuscular"
Description,BioNTech/Pfizer BNT162b2,Lipid nanoparticle-formulated mRNA encoding full-length spike (S) protein
Published results,BioNTech/Pfizer BNT162b2,"Phase I/II, phase III - see <b>Living review</b>"
Efficacy data,BioNTech/Pfizer BNT162b2,Vaccine efficacy against COVID-19 of 95% based on primary efficacy analysis of 170 confirmed cases - see <b>Living review</b>
Storage requirements,BioNTech/Pfizer BNT162b2,Ultra-cold (-60°C to -80°C)
"<a href=""https://www.one.org/international/vaccine-access-test/"" target=""_blank"">ONE Vaccine Access Test score</a>",BioNTech/Pfizer BNT162b2,BioNTech and Pfizer both given scores of 3 out of 20
