Institutes,Country,Name,Platform,Phase,In use,Date started,Reference,Listed by WHO,Listed by Milken,Other
Aegis Biodefense,USA,DNA vaccine,DNA,Pre-clinical,No,09/06/2020,Direct contact from company,no,no,NA
BioNet Asia,Thailand,COVIGEN,DNA,Phase I,No,26/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,NA
Biosun Pharmed,Iran,DNA plasmid vaccine,DNA,Pre-clinical,No,12/11/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
Chula Vaccine Research Center,Thailand,DNA vaccine,DNA,Pre-clinical,No,31/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,DNA with electroporation
Ege University,Turkey,DNA vaccine,DNA,Pre-clinical,No,01/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Entos Pharmaceuticals,Canada,Covigenix VAX-001,DNA,Phase I/II,No,19/03/2020,https://www.pharmaceutical-business-review.com/news/entos-pharmaceuticals-fusogenix-covid-19/,yes,yes,NA
GeneOne Life Science,Republic of Korea/USA,GLS-5310,DNA,Phase I/II,No,27/08/2020,http://www.genels.com/en/sub/technology/vaccine.asp,no,no,NA
Genexine Consortium,Republic of Korea,GX-19,DNA,Phase I/II,No,16/03/2020,http://www.koreabiomed.com/news/articleView.html?idxno=7727,yes,yes,NA
Globe Biotech Ltd (DNA),Bangladesh,DNA plasmid vaccine,DNA,Pre-clinical,No,29/10/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Immunomic Therapeutics Inc/Epivax Inc/PharmaJet,USA,DNA vaccine,DNA,Pre-clinical,No,09/04/2020,https://www.immunomix.com/immunomic-therapeutics-forms-collaboration-with-epivax-and-pharmajet-to-develop-novel-vaccine-candidate-against-covid-19-using-its-investigational-unite-platform/,yes,yes,"Plasmid DNA, needle-free delivery"
Inovio Pharmaceuticals/International Vaccine Institute,USA/Republic of Korea,INO-4800,DNA,Phase II/III,No,12/03/2020,https://www.prnewswire.com/news-releases/inovio-receives-new-5-million-grant-to-accelerate-scale-up-of-smart-delivery-device-for-its-covid-19-vaccine-301022049.html,yes,yes,DNA plasmid vaccine electroporation device
Inserm,France,DNA vaccine,DNA,Pre-clinical,No,15/06/2020,https://presse.inserm.fr/en/covid-19-vaccine-research-at-inserm/39831/,yes,no,DNA immunostimulatory sequences
Karolinska Intitute/Cobra Biologics,Sweden,DNA vaccine,DNA,Pre-clinical,No,26/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,DNA with electroporation
Mediphage Bioceuticals/University of Waterloo,Canada,msDNA vaccine,DNA,Pre-clinical,No,16/04/2020,https://uwaterloo.ca/stories/news/university-waterloo-developing-dna-based-covid-19-vaccine,yes,yes,"Nasal spray, bacteriophage delivery, VLP-encoded DNA vaccine"
