Developers,Name,Phase,Vaccine,Platform,N,Age (years),N_doses,Location,Location_clean,Location_status,alpha3,Latitude,Longitude,N_enrolled,Update_date,Update_link,Start_date,Primary_completion_date,Trial_number,Link,Status,Additional_links
University of Oxford/AstraZeneca,ChAdOx1-S,Phase II/III,Oxford/AstraZeneca ChAdOx1-S,Non-replicating viral vector,12390,≥5,1 or 2,UK,UK,Active/recruiting,GBR,54,-2,Unknown,NA,NA,28/05/2020,30/09/2021,NCT04400838,https://clinicaltrials.gov/ct2/show/NCT04400838,Recruiting,NA
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford/AstraZeneca ChAdOx1-S,Non-replicating viral vector,10300,≥18,1 or 2,Brazil,Brazil,Active/recruiting,BRA,-10,-55,Unknown,NA,NA,02/06/2020,30/09/2021,NCT04536051,https://clinicaltrials.gov/ct2/show/NCT04536051,Recruiting,NA
University of Oxford/AstraZeneca,ChAdOx1-S,Phase II/III,Oxford/AstraZeneca ChAdOx1-S,Non-replicating viral vector,1600,≥18,2,India,India,Active/recruiting,IND,20,77,Unknown,NA,NA,24/08/2020,24/03/2021,CTRI/2020/08/027170,http://ctri.nic.in/Clinicaltrials/showallp.php?mid1=46186&EncHid=&userName=covid-19%20vaccine,"Active, not recruiting",NA
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford/AstraZeneca ChAdOx1-S,Non-replicating viral vector,100,≥18,2,Russia,Russia,Suspended,RUS,60,100,Unknown,NA,NA,02/09/2020,11/05/2021,NCT04540393,https://clinicaltrials.gov/ct2/show/NCT04540393,Suspended,NA
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford/AstraZeneca ChAdOx1-S,Non-replicating viral vector,32459,≥18,2,USA,USA,Active/recruiting,USA,38,-97,Unknown,NA,NA,28/08/2020,16/03/2021,NCT04516746,https://clinicaltrials.gov/ct2/show/NCT04516746,"Active, not recruiting",NA
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford/AstraZeneca ChAdOx1-S,Non-replicating viral vector,32459,≥18,2,Argentina,Argentina,Active/recruiting,ARG,-34,-64,Unknown,NA,NA,28/08/2020,16/03/2021,NCT04516746,https://clinicaltrials.gov/ct2/show/NCT04516746,"Active, not recruiting",NA
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford/AstraZeneca ChAdOx1-S,Non-replicating viral vector,32459,≥18,2,Chile,Chile,Active/recruiting,CHL,-30,-71,Unknown,NA,NA,28/08/2020,16/03/2021,NCT04516746,https://clinicaltrials.gov/ct2/show/NCT04516746,"Active, not recruiting",NA
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford/AstraZeneca ChAdOx1-S,Non-replicating viral vector,32459,≥18,2,Colombia,Colombia,Active/recruiting,COL,4,-72,Unknown,NA,NA,28/08/2020,16/03/2021,NCT04516746,https://clinicaltrials.gov/ct2/show/NCT04516746,"Active, not recruiting",NA
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford/AstraZeneca ChAdOx1-S,Non-replicating viral vector,32459,≥18,2,France,France,Active/recruiting,FRA,46,2,Unknown,NA,NA,28/08/2020,16/03/2021,NCT04516746,https://clinicaltrials.gov/ct2/show/NCT04516746,"Active, not recruiting",NA
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford/AstraZeneca ChAdOx1-S,Non-replicating viral vector,32459,≥18,2,Peru,Peru,Active/recruiting,PER,-10,-76,Unknown,NA,NA,28/08/2020,16/03/2021,NCT04516746,https://clinicaltrials.gov/ct2/show/NCT04516746,"Active, not recruiting",NA
