,ID,title,abstract,date,doi,author_corresponding,author_corresponding_institution,source,eligible,new
169,21654,Age-related heterogeneity in Neutralising antibody responses to SARS-CoV-2 following BNT162b2 vaccination,"BackgroundVaccines remain the cornerstone for containing the SARS-CoV-2 pandemic.mRNA vaccines provide protection in clinical trials using a two-dose approach, separated by a three to four week gap. UK policy in 2021 is to extend the dosing interval from three to twelve weeks. There is a paucity of data in the elderly, even though these individuals are the first to receive vaccines due to risk of severe disease. Here we assessed real world immune responses following vaccination with mRNA-based vaccine BNT162b2.

MethodsWe did a prospective cohort study of individuals presenting for first dose vaccination. Following the first and second doses of the BNT162b2 vaccine, we measured IFN{gamma} T cell responses, as well as binding antibody (IgA, IgG and IgG1-4) responses to Spike and Spike RBD. We also measured serum neutralising antibody responses to wild type (Wuhan with D614G) and B.1.1.7 Spike using a lentiviral pseudotyping system. We correlated age with immune responses and compared responses after the first and second doses.

ResultsMedian age was 81years amongst 50 participants after the first dose of the BNT162b2 vaccine. Geometric mean neutralisation titres in participants over 80 years old after the first dose were lower than in younger individuals [79.9 (95%CI 35.9-177.6) vs 19.0 (10.7-33.8) p<0.01]. A lower proportion of participants 80 years and older achieved adequate neutralisation titre of >1:20 for 50% neutralisation as compared to those under 80 (11/26 versus 19/24, p<0.01). Binding IgG1 responses correlated with neutralisation, though IgG2-4 responses did not. Sera from participants in both age groups showed lower, though not statistically significant, neutralisation potency against B.1.1.7 Spike pseudotyped viruses as compared to wild type. SARS-CoV-2 Spike specific T-cell responses were similar across age groups and increased between vaccine doses. Following the second dose, 50% neutralising antibody titres were above 1:20 in all individuals and there was no longer a difference by age grouping.

ConclusionsThere was a significantly higher risk of a suboptimal neutralising antibody response following first dose vaccination with BNT162b2 in those above the age of 80, cautioning against extending the dosing interval in this high risk population.",07/03/2021,10.1101/2021.02.03.21251054,Ravindra K Gupta,University of Cambridge,medrxiv,Real-world immunogenicity,0
52,10757,Phase 1/2 Study to Describe the Safety and Immunogenicity of a COVID-19 RNA Vaccine Candidate (BNT162b1) in Adults 18 to 55 Years of Age: Interim Report,"In March 2020, the WHO declared a pandemic of coronavirus disease 2019 (COVID-19), due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).1 With >8.8 million cases and >450,000 deaths reported globally, a vaccine is urgently needed. We report the available safety, tolerability, and immunogenicity data from an ongoing placebo-controlled, observer-blinded dose escalation study among healthy adults, 18-55 years of age, randomized to receive 2 doses, separated by 21 days, of 10 g, 30 g, or 100 g of BNT162b1, a lipid nanoparticle-formulated, nucleoside-modified, mRNA vaccine that encodes trimerized SARS-CoV-2 spike glycoprotein RBD. Local reactions and systemic events were dose-dependent, generally mild to moderate, and transient. RBD-binding IgG concentrations and SARS-CoV-2 neutralizing titers in sera increased with dose level and after a second dose. Geometric mean neutralizing titers reached 1.8-to 2.8-fold that of a panel of COVID-19 convalescent human sera. These results support further evaluation of this mRNA vaccine candidate.",01/07/2020,10.1101/2020.06.30.20142570,Judith Absalon,"Pfizer, Inc., Pearl River, NY",medrxiv,pubmed,0
59,11910,Concurrent human antibody andTH1 type T-cell responses elicited by a COVID-19 RNA vaccine,"An effective vaccine is needed to halt the spread of the SARS-CoV-2 pandemic. Recently, we reported safety, tolerability and antibody response data from an ongoing placebo-controlled, observer-blinded phase 1/2 COVID-19 vaccine trial with BNT162b1, a lipid nanoparticle (LNP) formulated nucleoside-modified messenger RNA encoding the receptor binding domain (RBD) of the SARS-CoV-2 spike protein. Here we present antibody and T cell responses after BNT162b1 vaccination from a second, non-randomized open-label phase 1/2 trial in healthy adults, 18-55 years of age. Two doses of 1 to 50 {micro}g of BNT162b1 elicited robust CD4+ and CD8+ T cell responses and strong antibody responses, with RBD-binding IgG concentrations clearly above those in a COVID-19 convalescent human serum panel (HCS). Day 43 SARS-CoV-2 serum neutralising geometric mean titers were 0.7-fold (1 {micro}g) to 3.5-fold (50 {micro}g) those of HCS. Immune sera broadly neutralised pseudoviruses with diverse SARS-CoV-2 spike variants. Most participants had TH1 skewed T cell immune responses with RBD-specific CD8+ and CD4+ T cell expansion. Interferon (IFN){gamma} was produced by a high fraction of RBD-specific CD8+ and CD4+ T cells. The robust RBD-specific antibody, T-cell and favourable cytokine responses induced by the BNT162b1 mRNA vaccine suggest multiple beneficial mechanisms with potential to protect against COVID-19.",20/07/2020,10.1101/2020.07.17.20140533,Ugur Sahin,BioNTech,medrxiv,pubmed,0
65,13075,"Immunogenicity and Safety of a SARS-CoV-2 Inactivated Vaccine in Healthy Adults Aged 18-59 years: Report of the Randomized, Double-blind, and Placebo-controlled Phase 2 Clinical Trial","BACKGROUNDThe top priority for the control of COVID-19 pandemic currently is the development of a vaccine. A phase 2 trial conducted to further evaluate the immunogenicity and safety of a SARS-CoV-2 inactivated vaccine (CoronaVac).

METHODSWe conducted a randomized, double-blind, placebo-controlled trial to evaluate the optimal dose, immunogenicity and safety of the CoronaVac. A total of 600 healthy adults aged 18-59 years were randomly assigned to receive 2 injections of the trial vaccine at a dose of 3 g/0.5 mL or 6 g /0.5mL, or placebo on Day 0,14 schedule or Day 0,28 schedule. For safety evaluation, solicited and unsolicited adverse events were collected after each vaccination within 7 days and 28 days, respectively. Blood samples were taken for antibody assay.

RESULTSCoronaVac was well tolerated, and no dose-related safety concerns were observed. Most of the adverse reactions fell in the solicited category and were mild in severity. Pain at injection site was the most frequently reported symptoms. No Grade 3 adverse reaction or vaccine related SAEs were reported. CoronaVac showed good immunogenicity with the lower 3 g dose eliciting 92.4% seroconversion under Day 0,14 schedule and 97.4% under Day 0,28 schedule. 28 days after two-dose vaccination, the Nab levels of individual schedules range from 23.8 to 65.4 among different dosage and vaccination schedules.

CONCLUSIONSFavorable safety and immunogenicity of CoronaVac was demonstrated on both schedules and both dosages, which support the conduction of phase 3 trial with optimum schedule/dosage per different scenarios.",10/08/2020,10.1101/2020.07.31.20161216,Feng-Cai Zhu,Jiangsu Provincial Center for Disease Control and Prevention,medrxiv,pubmed,0
68,12962,First-in-Human Trial of a SARS CoV 2 Recombinant Spike Protein Nanoparticle Vaccine,"BackgroundNVX-CoV2373 is a recombinant nanoparticle vaccine composed of trimeric full-length SARS-CoV-2 spike glycoproteins. We present the Day 35 primary analysis of our trial of NVX-CoV2373 with or without the saponin-based Matrix-M1 adjuvant in healthy adults.

MethodsThis is a randomized, observer-blinded, placebo-controlled, phase 1 trial in 131 healthy adults. Trial vaccination comprised two intramuscular injections, 21 days apart. Primary outcomes were reactogenicity, safety labs, and immunoglobulin G (IgG) anti-spike protein response. Secondary outcomes included adverse events, wild-type virus neutralizing antibody, and T-cell responses.

ResultsParticipants received NVX-CoV2373 with or without Matrix-M1 (n=106) or placebo (n=25). There were no serious adverse events. Reactogenicity was mainly mild in severity and of short duration (mean [&le;]2 days), with second vaccinations inducing greater local and systemic reactogenicity. The adjuvant significantly enhanced immune responses and was antigen dose-sparing, and the two-dose 5g NVX-CoV2373/Matrix-M1 vaccine induced mean anti-spike IgG and neutralizing antibody responses that exceeded the mean responses in convalescent sera from COVID-19 patients with clinically significant illnesses. The vaccine also induced antigen-specific T cells with a largely T helper 1 (Th1) phenotype.

ConclusionsNVX-CoV2373/Matrix-M1 was well tolerated and elicited robust immune responses (IgG and neutralization) four-fold higher than the mean observed in COVID-19 convalescent serum from participants with clinical symptoms requiring medical care and induced CD4+ T-cell responses biased toward a Th1 phenotype. These findings suggest that the vaccine may confer protection and support transition to efficacy evaluations to test this hypothesis. (Funded by the Coalition for Epidemic Preparedness Innovations; ClinicalTrials.gov number, NCT04368988).",06/08/2020,10.1101/2020.08.05.20168435,Cheryl Keech,"Novavax, Inc.",medrxiv,pubmed,0
72,13609,RNA-Based COVID-19 Vaccine BNT162b2 Selected for a Pivotal Efficacy Study,"BackgroundSevere acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infections and the resulting disease, coronavirus disease 2019 (COVID-19), have spread to millions of people globally. Multiple vaccine candidates are under development, but no vaccine is currently available.

MethodsHealthy adults 18-55 and 65-85 years of age were randomized in an ongoing, placebo-controlled, observer-blinded dose-escalation study to receive 2 doses at 21-day intervals of placebo or either of 2 lipid nanoparticle-formulated, nucleoside-modified RNA vaccine candidates: BNT162b1, which encodes a secreted trimerized SARS-CoV-2 receptor-binding domain, or BNT162b2, which encodes a prefusion stabilized membrane-anchored SARS-CoV-2 full-length spike. In each of 13 groups of 15 participants, 12 received vaccine and 3 received placebo. Groups were distinguished by vaccine candidate, age of participant, and vaccine dose level. Interim safety and immunogenicity data of BNT162b1 in younger adults have been reported previously from US and German trials. We now present additional safety and immunogenicity data from the US Phase 1 trial that supported selection of the vaccine candidate advanced to a pivotal Phase 2/3 safety and efficacy evaluation.

ResultsIn both younger and older adults, the 2 vaccine candidates elicited similar dose- dependent SARS-CoV-2-neutralizing geometric mean titers (GMTs), comparable to or higher than the GMT of a panel of SARS-CoV-2 convalescent sera. BNT162b2 was associated with less systemic reactogenicity, particularly in older adults.

ConclusionThese results support selection of the BNT162b2 vaccine candidate for Phase 2/3 large-scale safety and efficacy evaluation, currently underway.",28/08/2020,10.1101/2020.08.17.20176651,Judith Absalon,"Vaccine Research and Development, Pfizer, Inc.",medrxiv,pubmed,0
87,15589,"Safety and immunogenicity of the Ad26.COV2.S COVID-19 vaccine candidate: interim results of a phase 1/2a, double-blind, randomized, placebo-controlled trial","BACKGROUND The ongoing coronavirus disease (COVID)-19 pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) might be controlled by an efficacious vaccine. Multiple vaccines are in development, but no efficacious vaccine is currently available. METHODS We designed a multi-center phase 1/2a randomized, double-blinded, placebo-controlled clinical study to assesses the safety, reactogenicity and immunogenicity of Ad26.COV2.S, a non-replicating adenovirus 26 based vector expressing the stabilized pre-fusion spike (S) protein of SARS-CoV-2. Ad26.COV2.S was administered at a dose level of 5x1010 or 1x1011 viral particles (vp) per vaccination, either as a single dose or as a two-dose schedule spaced by 56 days in healthy adults (18-55 years old; cohort 1a & 1b; n= 402 and healthy elderly >65 years old; cohort 3; n=394). Vaccine elicited S specific antibody levels were measured by ELISA and neutralizing titers were measured in a wild-type virus neutralization assay (wtVNA). CD4+ T-helper (Th)1 and Th2, and CD8+ immune responses were assessed by intracellular cytokine staining (ICS). RESULTS We here report interim analyses after the first dose of blinded safety data from cohorts 1a, 1b and 3 and group unblinded immunogenicity data from cohort 1a and 3. In cohorts 1 and 3 solicited local adverse events were observed in 58% and 27% of participants, respectively. Solicited systemic adverse events were reported in 64% and 36% of participants, respectively. Fevers occurred in both cohorts 1 and 3 in 19% (5% grade 3) and 4% (0% grade 3), respectively, were mostly mild or moderate, and resolved within 1 to 2 days after vaccination. The most frequent local adverse event (AE) was injection site pain and the most frequent solicited AEs were fatigue, headache and myalgia. After only a single dose, seroconversion rate in wtVNA (50% inhibitory concentration - IC50) at day 29 after immunization in cohort 1a already reached 92% with GMTs of 214 (95% CI: 177; 259) and 92% with GMTs of 243 (95% CI: 200; 295) for the 5x1010 and 1x1011vp dose levels, respectively. A similar immunogenicity profile was observed in the first 15 participants in cohort 3, where 100% seroconversion (6/6) (GMTs of 196 [95%CI: 69; 560]) and 83% seroconversion (5/6) (GMTs of 127 [95% CI: <58; 327]) were observed for the 5x1010 or 1x1011 vp dose level, respectively. Seroconversion for S antibodies as measured by ELISA (ELISA Units/mL) was observed in 99% of cohort 1a participants (GMTs of 528 [95% CI: 442; 630) and 695 (95% CI: 596; 810]), for the 5x1010 or 1x1011 vp dose level, respectively, and in 100% (6/6 for both dose levels) of cohort 3 with GMTs of 507 (95% CI: 181; 1418) and 248 (95% CI: 122; 506), respectively. On day 14 post immunization, Th1 cytokine producing S-specific CD4+ T cell responses were measured in 80% and 83% of a subset of participants in cohort 1a and 3, respectively, with no or very low Th2 responses, indicative of a Th1-skewed phenotype in both cohorts. CD8+ T cell responses were also robust in both cohort 1a and 3, for both dose levels. CONCLUSIONS The safety profile and immunogenicity after only a single dose are supportive for further clinical development of Ad26.COV2.S at a dose level of 5x1010 vp, as a potentially protective vaccine against COVID-19. Trial registration number: NCT04436276",25/09/2020,10.1101/2020.09.23.20199604,Mathieu Le Gars,Janssen Vaccines and Prevention,medrxiv,pubmed,0
121,19084,"A first-in-human evaluation of the safety and immunogenicity of SCB-2019, an adjuvanted, recombinant SARS-CoV-2 trimeric S-protein subunit vaccine for COVID-19 in healthy adults; a phase 1, randomised, double-blind, placebo-controlled trial","BackgroundAs part of the accelerated development of prophylactic vaccines against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) we report a first-in-human dose-finding and adjuvant justification study of SCB-2019, a novel protein subunit vaccine candidate composed of a stabilised trimeric form of the spike (S)-protein produced in CHO-cells, combined with two different adjuvants.

MethodsThis phase 1 study was done in one centre in Western Australia in 151 healthy adult volunteers in two age groups (18-54 and 55-75 years), allocated to 15 groups (nine young and six older adults) to receive two doses, 21 days apart, of placebo, or 3 g, 9 g or 30 g SCB-2019, alone or adjuvanted with AS03 or CpG/Alum. Reactogenicity was assessed for 7 days after each vaccination. Humoral responses were measured as SCB-2019 binding and ACE2-competitive binding IgG antibodies by ELISA, and as neutralising antibodies by wild-type SARS-CoV-2 microneutralisation assay; cellular responses to pooled S-protein peptides were measured by flow-cytometric intracellular cytokine staining.

FindingsWe report on 148 participants with at least 4 weeks follow-up post dose 2. Three participants withdrew, two for personal reasons and one with an unrelated SAE (pituitary adenoma). Vaccination was well tolerated, with few Grade 3 solicited adverse events (AE). Most local AEs were mild injection site pain, which were more frequent with formulations containing AS03 than CpG/Alum or unadjuvanted SCB-2019. Systemic AEs, mostly transient headache, fatigue or myalgia, were more frequent in young adults than older adults after the first dose, but similar after second doses. Unadjuvanted SCB-2019 elicited minimal immune responses, but SCB-2019 with fixed doses of AS03 or CpG/Alum induced high titres and seroconversion rates of binding and neutralising antibodies in both young and older adults. Titres were higher than those observed in a panel of COVID-19 convalescent sera in all AS03 groups and high dose CpG/Alum groups. Both adjuvanted formulations elicited Th1-biased CD4+ T cell responses.

InterpretationSCB-2019 trimeric protein formulated with AS03 or CpG/Alum adjuvants elicited robust humoral and cellular immune responses against SARS-CoV-2 with high viral neutralising activity. Both adjuvanted formulations were well tolerated and are suitable for further clinical development.

Clinical trial registrationClinicalTrials.gov identifier NCT04405908.",04/12/2020,10.1101/2020.12.03.20243709,Ralf Clemens,Global Research in Infectious Diseases (GRID),medrxiv,pubmed,0
131,19518,"Safety and immunogenicity trial of an inactivated SARS-CoV-2 vaccine-BBV152: a phase 1, double-blind, randomised control trial","BackgroundBBV152 is a whole-virion inactivated SARS-CoV-2 vaccine formulated with a TLR 7/8 agonist molecule adsorbed to alum (Algel-IMDG).

MethodsWe conducted a double-blind randomized controlled phase 1 clinical trial to evaluate the safety and immunogenicity of BBV152. A total of 375 participants were randomized equally to receive three vaccine formulations (n=100 each) prepared with 3 g with Algel-IMDG, 6 g with Algel-IMDG, and 6 g with Algel, and an Algel only control arm (n=75). Vaccines were administered on a two-dose intramuscular accelerated schedule on day 0 (baseline) and day 14. The primary outcomes were reactogenicity and safety. The secondary outcomes were immunogenicity based on the anti-IgG S1 response (detected with an enzyme-linked immunosorbent assay [ELISA] and wild-type virus neutralization [microneutralization and plaque reduction neutralization assays]). Cell-mediated responses were also evaluated.

ResultsReactogenicity was absent in the majority of participants, with mild events. The majority of adverse events were mild and were resolved. One serious adverse event was reported, which was found to be unrelated to vaccination. All three vaccine formulations resulted in robust immune responses comparable to a panel of convalescent serum. No significant differences were observed between the 3-g and 6-g Algel-IMDG groups. Neutralizing responses to homologous and heterologous SARS-CoV-2 strains were detected in all vaccinated individuals. Cell-mediated responses were biased to a Th-1 phenotype.

ConclusionsBBV152 induced binding and neutralising antibody responses and with the inclusion of the Algel-IMDG adjuvant, this is the first inactivated SARS-CoV-2 vaccine that has been reported to induce a Th1-biased response. Vaccine induced neutralizing antibody titers were reported with two divergent SARS-CoV-2 strains. BBV152 is stored between 2{degrees}C and 8{degrees}C, which is compatible with all national immunization program cold chain requirements. Both Algel-IMDG formulations were selected for the phase 2 immunogenicity trials. Further efficacy trials are underway.

Clinicaltrials.gov: NCT04471519",15/12/2020,10.1101/2020.12.11.20210419,Raches Ella,Bharat Biotech International Limited,medrxiv,pubmed,0
139,19885,"Safety and immunogenicity clinical trial of an inactivated SARS-CoV-2 vaccine, BBV152 (a phase 2, double-blind, randomised controlled trial) and the persistence of immune responses from a phase 1 follow-up report","BackgroundBBV152 is a whole-virion inactivated SARS-CoV-2 vaccine (3 {micro}g or 6 {micro}g) formulated with a Toll-like receptor 7/8 agonist molecule adsorbed to alum (Algel-IMDG). Earlier, we reported findings from a phase 1 (vaccination regimen on days 0 and 14) randomised, double-blind trial on the safety and immunogenicity of three different formulations of BBV152 and one control arm containing Algel (without antigen). Two formulations were selected for the phase 2 (days 0 and 28) study. Here, we report interim findings of a controlled, randomised, double-blind trial on the immunogenicity and safety of BBV152: 3 {micro}g and 6 {micro}g with Algel-IMDG.

MethodsWe conducted a double-blind, randomised, multicentre, phase 2 clinical trial to evaluate the immunogenicity and safety of BBV152. A total of 380 healthy children and adults were randomised to receive two vaccine formulations (n=190 each) with 3 {micro}g with Algel-IMDG and 6 {micro}g with Algel-IMDG. Two intramuscular doses of vaccines were administered (four weeks apart). Participants, investigators, and laboratory staff were blinded to the treatment allocation. The primary outcome was seroconversion ([&ge;]4-fold above baseline) based on wild-type virus neutralisation (PRNT50). Secondary outcomes were reactogenicity and safety. Cell-mediated responses were evaluated. A follow-up blood draw was collected from phase 1 participants at day 104 (three months after the second dose).

FindingsAmong 921 participants screened between Sep 7-13, 2020, 380 participants were randomised to the safety and immunogenicity population. The PRNT50 seroconversion rates of neutralising antibodies on day 56 were 92{middle dot}9% (88{middle dot}2, 96{middle dot}2) and 98{middle dot}3% (95{middle dot}1, 99{middle dot}6) in the 3 {micro}g and 6 {micro}g with Algel-IMDG groups, respectively. Higher neutralising titres (2-fold) were observed in the phase 2 study than in the phase 1 study (p<0.05). Both vaccine groups elicited more Th1 cytokines than Th2 cytokines. After two doses, the proportion (95% CI) of solicited local and systemic adverse reactions were 9.7% (6{middle dot}9, 13{middle dot}2) and 10.3% (7{middle dot}4, 13{middle dot}8) in the 3 {micro}g and 6 {micro}g with Algel-IMDG groups, respectively. No significant difference was observed between the groups. No serious adverse events were reported in this study. Phase 1 follow-up immunological samples at day 104 showed seroconversion in 73{middle dot}5% (63{middle dot}6, 81{middle dot}9), 81{middle dot}1% (71{middle dot}4, 88{middle dot}1), and 73{middle dot}1% (62{middle dot}9, 81{middle dot}8) of individuals in the 3 {micro}g with Algel-IMDG, 6 {micro}g with Algel-IMDG, and 6 {micro}g with Algel groups, respectively.

InterpretationIn the phase 1 trial, BBV152 produced high levels of neutralising antibodies that remained elevated in all participants three months after the second vaccination. In the phase 2 trial, BBV152 led to tolerable safety outcomes and enhanced humoral and cell-mediated immune responses. The safety profile of BBV152 is noticeably lower than the rates for other SARS-CoV-2 vaccine platform candidates. The 6 {micro}g Algel-IMDG formulation was selected for the phase 3 efficacy trial.

FundingThis work was supported and funded by Bharat Biotech International Limited.

Clinicaltrials.gov: NCT04471519",22/12/2020,10.1101/2020.12.21.20248643,Raches Ella,Bharat Biotech International Limited,medrxiv,pubmed,0
