,ID,title,abstract,date,doi,author_corresponding,author_corresponding_institution,source,eligible,new
48,10650,Phase 1/2 Study to Describe the Safety and Immunogenicity of a COVID-19 RNA Vaccine Candidate (BNT162b1) in Adults 18 to 55 Years of Age: Interim Report,"Abstract In March 2020, the WHO declared a pandemic of coronavirus disease 2019 (COVID-19), due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). With >8.8 million cases and >450,000 deaths reported globally, a vaccine is urgently needed. We report the available safety, tolerability, and immunogenicity data from an ongoing placebo-controlled, observer-blinded dose escalation study among healthy adults, 18-55 years of age, randomized to receive 2 doses, separated by 21 days, of 10 g, 30 g, or 100 g of BNT162b1, a lipid nanoparticle-formulated, nucleoside-modified, mRNA vaccine that encodes trimerized SARS-CoV-2 spike glycoprotein RBD. Local reactions and systemic events were dose-dependent, generally mild to moderate, and transient. RBD-binding IgG concentrations and SARS-CoV-2 neutralizing titers in sera increased with dose level and after a second dose. Geometric mean neutralizing titers reached 1.8- to 2.8-fold that of a panel of COVID-19 convalescent human sera. These results support further evaluation of this mRNA vaccine candidate.",01/07/2020,10.1101/2020.06.30.20142570,Judith Absalon,"Pfizer, Inc., Pearl River, NY",medrxiv,pubmed,0
55,11774,Concurrent human antibody andTH1 type T-cell responses elicited by a COVID-19 RNA vaccine,"An effective vaccine is needed to halt the spread of the SARS-CoV-2 pandemic. Recently, we reported safety, tolerability and antibody response data from an ongoing placebo-controlled, observer-blinded phase 1/2 COVID-19 vaccine trial with BNT162b1, a lipid nanoparticle (LNP) formulated nucleoside-modified messenger RNA encoding the receptor binding domain (RBD) of the SARS-CoV-2 spike protein. Here we present antibody and T cell responses after BNT162b1 vaccination from a second, non-randomized open-label phase 1/2 trial in healthy adults, 18-55 years of age. Two doses of 1 to 50 g of BNT162b1 elicited robust CD4+ and CD8+ T cell responses and strong antibody responses, with RBD-binding IgG concentrations clearly above those in a COVID-19 convalescent human serum panel (HCS). Day 43 SARS-CoV-2 serum neutralising geometric mean titers were 0.7-fold (1 g) to 3.5-fold (50 g) those of HCS. Immune sera broadly neutralised pseudoviruses with diverse SARS-CoV-2 spike variants. Most participants had TH1 skewed T cell immune responses with RBD-specific CD8+ and CD4+ T cell expansion. Interferon (IFN){gamma} was produced by a high fraction of RBD-specific CD8+ and CD4+ T cells. The robust RBD-specific antibody, T-cell and favourable cytokine responses induced by the BNT162b1 mRNA vaccine suggest multiple beneficial mechanisms with potential to protect against COVID-19.",20/07/2020,10.1101/2020.07.17.20140533,Ugur Sahin,BioNTech,medrxiv,pubmed,0
60,12915,"Immunogenicity and Safety of a SARS-CoV-2 Inactivated Vaccine in Healthy Adults Aged 18-59 years: Report of the Randomized, Double-blind, and Placebo-controlled Phase 2 Clinical Trial","BACKGROUND The top priority for the control of COVID-19 pandemic currently is the development of a vaccine. A phase 2 trial conducted to further evaluate the immunogenicity and safety of a SARS-CoV-2 inactivated vaccine (CoronaVac). METHODS We conducted a randomized, double-blind, placebo-controlled trial to evaluate the optimal dose, immunogenicity and safety of the CoronaVac. A total of 600 healthy adults aged 18-59 years were randomly assigned to receive 2 injections of the trial vaccine at a dose of 3 g/0.5 mL or 6 g /0.5mL, or placebo on Day 0,14 schedule or Day 0,28 schedule. For safety evaluation, solicited and unsolicited adverse events were collected after each vaccination within 7 days and 28 days, respectively. Blood samples were taken for antibody assay. RESULTS CoronaVac was well tolerated, and no dose-related safety concerns were observed. Most of the adverse reactions fell in the solicited category and were mild in severity. Pain at injection site was the most frequently reported symptoms. No Grade 3 adverse reaction or vaccine related SAEs were reported. CoronaVac showed good immunogenicity with the lower 3 g dose eliciting 92.4% seroconversion under Day 0,14 schedule and 97.4% under Day 0,28 schedule. 28 days after two-dose vaccination, the Nab levels of individual schedules range from 23.8 to 65.4 among different dosage and vaccination schedules. CONCLUSIONS Favorable safety and immunogenicity of CoronaVac was demonstrated on both schedules and both dosages, which support the conduction of phase 3 trial with optimum schedule/dosage per different scenarios.",10/08/2020,10.1101/2020.07.31.20161216,Feng-Cai Zhu,Jiangsu Provincial Center for Disease Control and Prevention,medrxiv,pubmed,0
63,12805,First-in-Human Trial of a SARS CoV 2 Recombinant Spike Protein Nanoparticle Vaccine,"Background NVX-CoV2373 is a recombinant nanoparticle vaccine composed of trimeric full-length SARS-CoV-2 spike glycoproteins. We present the Day 35 primary analysis of our trial of NVX-CoV2373 with or without the saponin-based Matrix-M1 adjuvant in healthy adults. Methods This is a randomized, observer-blinded, placebo-controlled, phase 1 trial in 131 healthy adults. Trial vaccination comprised two intramuscular injections, 21 days apart. Primary outcomes were reactogenicity, safety labs, and immunoglobulin G (IgG) anti-spike protein response. Secondary outcomes included adverse events, wild-type virus neutralizing antibody, and T-cell responses. Results Participants received NVX-CoV2373 with or without Matrix-M1 (n=106) or placebo (n=25). There were no serious adverse events. Reactogenicity was mainly mild in severity and of short duration (mean [&ge;] 2 days), with second vaccinations inducing greater local and systemic reactogenicity. The adjuvant significantly enhanced immune responses and was antigen dose-sparing, and the two-dose 5g NVX-CoV2373/Matrix-M1 vaccine induced mean anti-spike IgG and neutralizing antibody responses that exceeded the mean responses in convalescent sera from COVID-19 patients with clinically significant illnesses. The vaccine also induced antigen-specific T cells with a largely T helper 1 (Th1) phenotype. Conclusions NVX-CoV2373/Matrix-M1 was well tolerated and elicited robust immune responses (IgG and neutralization) four-fold higher than the mean observed in COVID-19 convalescent serum from participants with clinical symptoms requiring medical care and induced CD4+ T-cell responses biased toward a Th1 phenotype. These findings suggest that the vaccine may confer protection and support transition to efficacy evaluations to test this hypothesis. (Funded by the Coalition for Epidemic Preparedness Innovations; ClinicalTrials.gov number, NCT04368988).",06/08/2020,10.1101/2020.08.05.20168435,Cheryl Keech,"Novavax, Inc.",medrxiv,pubmed,0
68,13435,RNA-Based COVID-19 Vaccine BNT162b2 Selected for a Pivotal Efficacy Study,"Background: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infections and the resulting disease, coronavirus disease 2019 (COVID-19), have spread to millions of people globally. Multiple vaccine candidates are under development, but no vaccine is currently available. Methods: Healthy adults 18-55 and 65-85 years of age were randomized in an ongoing, placebo-controlled, observer-blinded dose-escalation study to receive 2 doses at 21-day intervals of placebo or either of 2 lipid nanoparticle-formulated, nucleoside-modified RNA vaccine candidates: BNT162b1, which encodes a secreted trimerized SARS-CoV-2 receptor-binding domain, or BNT162b2, which encodes a prefusion stabilized membrane-anchored SARS-CoV-2 full-length spike. In each of 13 groups of 15 participants, 12 received vaccine and 3 received placebo. Groups were distinguished by vaccine candidate, age of participant, and vaccine dose level. Interim safety and immunogenicity data of BNT162b1 in younger adults have been reported previously from US and German trials. We now present additional safety and immunogenicity data from the US Phase 1 trial that supported selection of the vaccine candidate advanced to a pivotal Phase 2/3 safety and efficacy evaluation. Results: In both younger and older adults, the 2 vaccine candidates elicited similar dose-dependent SARS-CoV-2-neutralizing geometric mean titers (GMTs), comparable to or higher than the GMT of a panel of SARS-CoV-2 convalescent sera. BNT162b2 was associated with less systemic reactogenicity, particularly in older adults. Conclusion: These results support selection of the BNT162b2 vaccine candidate for Phase 2/3 large-scale safety and efficacy evaluation, currently underway.",28/08/2020,10.1101/2020.08.17.20176651,Judith Absalon,"Vaccine Research and Development, Pfizer, Inc.",medrxiv,pubmed,0
496,32839784,RNA-Based COVID-19 Vaccine BNT162b2 Selected for a Pivotal Efficacy Study.,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infections and the resulting disease, coronavirus disease 2019 (COVID-19), have spread to millions of people globally. Multiple vaccine candidates are under development, but no vaccine is currently available. Healthy adults 18-55 and 65-85 years of age were randomized in an ongoing, placebo-controlled, observer-blinded dose-escalation study to receive 2 doses at 21-day intervals of placebo or either of 2 lipid nanoparticle-formulated, ",16/12/2020,10.1101/2020.08.17.20176651,Edward E Walsh,NA,pubmed,pubmed,0
560,33378609,Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine.,"Vaccines are needed to prevent coronavirus disease 2019 (Covid-19) and to protect persons who are at high risk for complications. The mRNA-1273 vaccine is a lipid nanoparticle-encapsulated mRNA-based vaccine that encodes the prefusion stabilized full-length spike protein of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the virus that causes Covid-19. This phase 3 randomized, observer-blinded, placebo-controlled trial was conducted at 99 centers across the United States. Perso",30/12/2020,10.1056/NEJMoa2035389,Lindsey R Baden,"From Brigham and Women's Hospital (L.R.B.), Boston, and Moderna, Cambridge (H.B., R.P., C.K., B.L., W.D., H.Z., S.H., M.I., J. Miller, T.Z.) - both in Massachusetts",pubmed,1,1
82,15345,"Safety and immunogenicity of the Ad26.COV2.S COVID-19 vaccine candidate: interim results of a phase 1/2a, double-blind, randomized, placebo-controlled trial","BACKGROUND The ongoing coronavirus disease (COVID)-19 pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) might be controlled by an efficacious vaccine. Multiple vaccines are in development, but no efficacious vaccine is currently available. METHODS We designed a multi-center phase 1/2a randomized, double-blinded, placebo-controlled clinical study to assesses the safety, reactogenicity and immunogenicity of Ad26.COV2.S, a non-replicating adenovirus 26 based vector expressing the stabilized pre-fusion spike (S) protein of SARS-CoV-2. Ad26.COV2.S was administered at a dose level of 5x1010 or 1x1011 viral particles (vp) per vaccination, either as a single dose or as a two-dose schedule spaced by 56 days in healthy adults (18-55 years old; cohort 1a & 1b; n= 402 and healthy elderly >65 years old; cohort 3; n=394). Vaccine elicited S specific antibody levels were measured by ELISA and neutralizing titers were measured in a wild-type virus neutralization assay (wtVNA). CD4+ T-helper (Th)1 and Th2, and CD8+ immune responses were assessed by intracellular cytokine staining (ICS). RESULTS We here report interim analyses after the first dose of blinded safety data from cohorts 1a, 1b and 3 and group unblinded immunogenicity data from cohort 1a and 3. In cohorts 1 and 3 solicited local adverse events were observed in 58% and 27% of participants, respectively. Solicited systemic adverse events were reported in 64% and 36% of participants, respectively. Fevers occurred in both cohorts 1 and 3 in 19% (5% grade 3) and 4% (0% grade 3), respectively, were mostly mild or moderate, and resolved within 1 to 2 days after vaccination. The most frequent local adverse event (AE) was injection site pain and the most frequent solicited AEs were fatigue, headache and myalgia. After only a single dose, seroconversion rate in wtVNA (50% inhibitory concentration - IC50) at day 29 after immunization in cohort 1a already reached 92% with GMTs of 214 (95% CI: 177; 259) and 92% with GMTs of 243 (95% CI: 200; 295) for the 5x1010 and 1x1011vp dose levels, respectively. A similar immunogenicity profile was observed in the first 15 participants in cohort 3, where 100% seroconversion (6/6) (GMTs of 196 [95%CI: 69; 560]) and 83% seroconversion (5/6) (GMTs of 127 [95% CI: <58; 327]) were observed for the 5x1010 or 1x1011 vp dose level, respectively. Seroconversion for S antibodies as measured by ELISA (ELISA Units/mL) was observed in 99% of cohort 1a participants (GMTs of 528 [95% CI: 442; 630) and 695 (95% CI: 596; 810]), for the 5x1010 or 1x1011 vp dose level, respectively, and in 100% (6/6 for both dose levels) of cohort 3 with GMTs of 507 (95% CI: 181; 1418) and 248 (95% CI: 122; 506), respectively. On day 14 post immunization, Th1 cytokine producing S-specific CD4+ T cell responses were measured in 80% and 83% of a subset of participants in cohort 1a and 3, respectively, with no or very low Th2 responses, indicative of a Th1-skewed phenotype in both cohorts. CD8+ T cell responses were also robust in both cohort 1a and 3, for both dose levels. CONCLUSIONS The safety profile and immunogenicity after only a single dose are supportive for further clinical development of Ad26.COV2.S at a dose level of 5x1010 vp, as a potentially protective vaccine against COVID-19. Trial registration number: NCT04436276",25/09/2020,10.1101/2020.09.23.20199604,Mathieu Le Gars,Janssen Vaccines and Prevention,medrxiv,1,0
84,15885,An in-depth investigation of the safety and immunogenicity of an inactivated SARS-CoV-2 vaccine,"BACKGROUNDIn-depth investigations of the safety and immunogenicity of inactivated SARS-CoV-2 vaccines are needed.

METHODIn a phase I randomized, double-blinded, and placebo-controlled trial involving 192 healthy adults 18-59 years of age, two injections of three different doses (50 EU, 100 EU and 150 EU) of an inactivated SARS-CoV-2 vaccine or the placebo were administered intramuscularly with a 2- or 4-week interval between the injections. The safety and immunogenicity of the vaccine were evaluated within 28 days.

FINDINGIn this study, 191 subjects assigned to three doses groups or the placebo group completed the 28-day trial. There were 44 adverse reactions within the 28 days, most commonly mild pain and redness at the injection site or slight fatigue, and no abnormal variations were observed in 48 cytokines in the serum samples of immunized subjects. The serum samples diluted from 1:32 to 1:4096 and incubated with the virus did not show antibody-dependent enhancement effects (ADEs) with regard to human natural killer cells, macrophages or dendritic cells. At day 14, the seroconversion rates had reached 92%, 100% and 96% with geometric mean titers (GMTs) of 18.0, 54.5 and 37.1, and at day 28, the seroconversion rates had reached 80%, 96% and 92% with GMTs of 10.6, 15.4 and 19.6in 0, 14 and 0, 28 procedures, respectively. Seroconversion was associated with the synchronous upregulation of ELISA antibodies against the S protein, N protein and virion and a cytotoxic T lymphocyte (CTL) response. Transcriptome analysis shaped the genetic diversity of immune response induced by the vaccine.

INTERPRETATIONIn a population aged 18-59 years, this inactivated SARS-CoV-2 vaccine was safe and immunogenic.

Trial registrationNCT04412538

FUNDINGThe National Key R&D Program of China (2020YFC0849700), the Program of Chinese Academy of Medicine Science and the Major Science and Technology Special Projects of Yunnan Province.",06/10/2020,10.1101/2020.09.27.20189548,Qihan Li,"Institute of Medical Biology, Chinese Academy of Medicine Science & Peking Union Medical College",medrxiv,1,0
98,17356,Phase 1 trial of a Candidate Recombinant Virus-Like Particle Vaccine for Covid-19 Disease Produced in Plants,"Longer AbstractO_ST_ABSBackgroundC_ST_ABSThe stabilized prefusion form of the SARS-CoV-2 spike protein is produced by transient expression in Nicotiana benthamiana. The trimeric spike glycoproteins are displayed at the surface of self-assembling Virus-Like-Particles that mimic the shape and the size of the virus. The candidate vaccine (CoVLP) administered alone or with AS03 or CpG1018 adjuvants was evaluated in a Phase 1 trial in healthy adults. (ClinicalTrials.gov number NCT04450004)

MethodsThe study was a randomized, partially-blinded, prime-boost 21 days apart, dose-escalation Phase 1 study intended to assess the safety, tolerability, and immunogenicity of CoVLP at three dose levels (3.75 {micro}g, 7.5 {micro}g, and 15 {micro}g) unadjuvanted or adjuvanted with either CpG 1018 or AS03 in 180 SARS-CoV-2 seronegative healthy adults 18 to 55 years of age. Enrollment was staggered for dose-escalation. At each dose level, the vaccine was initially administered to a small number of subjects. Vaccination of the remaining subjects at the same dose level and the next higher vaccine dose level was administered with approval of an Independent Data Monitoring Committee (IDMC). The same procedure was followed for the second vaccine administration. Monitoring of safety signals was performed throughout the study with pre-determined pausing/stopping rules if there was clear evidence of harmful effects such as severe adverse events (AEs) related to the treatment. The primary endpoints were the safety and tolerability of the vaccine after each dose and the immunogenicity as assessed by neutralizing antibody responses assessed using a vesicular stomatitis virus (VSV) pseudovirion assay and interferon-gamma (IFN-{gamma}) and interleukin-4 (IL-4) ELISpot assays at Days 0, 21 and 42. Secondary endpoints were anti-spike antibody responses by ELISA and neutralizing antibodies measured by live virus plaque reduction neutralization test (PRNT) assay at Days 0, 21 and 42 and immunogenicity with additional safety and immunogenicity endpoints planned for 6-months following the last vaccination. The anti-spike and neutralizing antibody responses were compared with 23 convalescent serum samples from symptomatic Covid-19 patients. We performed a primary analysis at day 42.

ResultsA total of 180 subjects (102 females: 78 males: average 34.3 years) were recruited to the study and interim safety and immunogenicity data up to day 42 after the first dose are reported here. There was no obvious CoVLP dose effect in safety outcomes for any of the formulations tested and all formulations were generally well-tolerated. Most solicited local and systemic AEs were mild-moderate and transient. Reactogenicity was increased in all adjuvanted formulations and was generally highest in the CoVLP+AS03 groups. Local and systemic adverse events were reported with similar frequency after the first and second doses in subjects who received either CoVLP alone or CoVLP+CpG1018 but increased in both frequency and severity after the second dose in the CoVLP+AS03 groups. CoVLP alone only elicited a weak total anti-spike IgG response at the highest dose level and little-to-no neutralization antibody response, even after the second dose. Cellular responses in the CoVLP alone groups (IFN{gamma} and IL-4) were detectable after the second dose but were still only marginally above background levels. The addition of either adjuvant substantially increased both antibody and cellular responses at most CoVLP dose levels and changes were most pronounced after the second dose. However, a substantial neutralizing antibody response after the first dose was only seen in all CoVLP+AS03 groups. After the second dose, both total anti-spike IgG and neutralizing antibody titers in the CoVLP+AS03 groups were higher than those in the CoVLP+CpG1018 groups. The antibody titers achieved were either similar to (CoVLP+CpG1018) or at least 10-times higher (CoVLP+AS03) than those seen in convalescent plasma. Administration of CoVLP with either adjuvant also significantly increased the cellular responses. After 2 doses, both IFN-{gamma} and IL-4 responses were significantly increased in the CoVLP+CpG1018 groups. In the CoVLP+AS03 groups, significant increases in the cellular responses were observed after the first dose while IFN-{gamma} and IL-4 increased further in both magnitude and number of subjects responding after the second dose. Again, the cellular responses in the CoVLP+AS03 groups were higher than those seen in the CoVLP+CpG1018 groups.

ConclusionThese data demonstrate that CoVLP administered with either CpG1018 or AS03 has a safety profile similar to other candidate vaccines for SARS-CoV-2. When administered with either AS03 or CpG1018, several of the CoVLP dose levels elicited strong humoral and T cell responses after the second dose. When administered with AS03, even the 3.75 g CoVLP dose elicited neutralizing antibody titers that were [~]10-times higher than those observed in individuals recovering from Covid-19 as well as consistent and balanced IFN-{gamma} and IL-4 responses. Although many CoVLP formulations were immunogenic, in the absence of established correlates of protection and given the advantages of dose-sparing in the context of the on-going pandemic, these findings suggest that CoVLP (3.75 g)+AS03 has a good benefit/risk ratio and support the transition of this formulation to studies in expanded populations and to efficacy evaluations

Shorter AbstractO_ST_ABSBackgroundC_ST_ABSVirus-like particles (VLP) displaying recombinant SARS-CoV-2 spike protein trimers were produced by transient expression in Nicotiana benthamiana. This candidate vaccine (CoVLP) was evaluated in healthy adults 18-55 years of age alone or with AS03 or CpG1018 (NCT04450004).

MethodsThis randomized, partially-blinded, two-dose, dose-escalation study assessed CoVLP (3.75, 7.5 or 15 {micro}g/dose) administered intramuscularly alone or with CpG1018 or AS03 in SARS-CoV-2 seronegative adults (18-55 years). Primary endpoints of safety and immunogenicity are reported to day 42. Neutralizing antibodies (NtAb) were assessed using a VSV pseudovirus assay and cellular responses by ELISpot (IFN{gamma}, IL-4).

Results180 subjects (avg.34.3yrs) were recruited. All formulations were well-tolerated but adjuvants increased reactogenicity. Adverse events were highest in the CoVLP+AS03 groups and increased in frequency/severity after dose two. CoVLP alone elicited weak humoral responses but modest cellular responses were detectable after dose two. Both adjuvants increased immunogenicity significantly, particularly after dose two. A significant NtAb response after dose one was only seen in CoVLP+AS03 groups. The vaccine dose had little impact on levels of NtAb responses achieved in the CoVLP+AS03 groups. Both adjuvants also increased IFN{gamma} and IL-4 responses but these cellular responses also tended to be highest in the AS03-adjuvanted groups.

ConclusionCoVLP {+/-} adjuvants was well-tolerated. Several adjuvanted formulations elicited strong humoral and T cell responses after dose 2. Even at the lowest CoVLP+AS03 dose, NtAb titers were [~]10-times higher than in convalescent serum with a balanced IFN{gamma} and IL-4 response. These findings support the transition of CoVLP (3.75g+AS03) to further clinical evaluation.

Research In ContextO_ST_ABSEvidence before this studyC_ST_ABSThe severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was recognized as the causative agent of COVID-19 in early 2020. Since that time, >150 candidate vaccines are reported to be under development of which 47 have entered clinical trials (https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines accessed Nov 4, 2020). No vaccine to prevent COVID-19 has been licensed yet for either emergency or general use in North America or Europe. We searched PubMed for research articles published between July 2019 and November 4, 2020, using the terms ""SARS-CoV-2"", ""vaccine"", ""clinical trial"" OR ""human"", AND ""phase"". The same terms were used to search ClinTrials.gov. No language restrictions were applied. We identified 10 peer-reviewed studies, describing phase 1 or 1/2 trials using a range of novel (eg: RNA, DNA, non-replicating virus vectored) and more traditional vaccine approaches (eg: inactivated virus or recombinant protein {+/-} adjuvants). None of these candidate vaccines was produced in plants. These reports demonstrate that several different vaccination strategies (typically delivered in two doses 14-28 days apart) are capable of eliciting neutralizing antibody responses. In several cases, vaccine-induced cellular responses against SARS-COV-2 antigens - predominantly the spike (S) protein - can also be demonstrated. Although local and systemic adverse events following vaccination have varied between reports, the trials published to date suggest that each of these candidate vaccines is well-tolerated in the context of an evolving pandemic.

Added value of this studyWe report the results of the first clinical study of CoVLP, a virus-like particle (VLP) vaccine that is produced by transient transfection of Nicotiana benthamiana plants. These VLPs spontaneously assemble at the plant cell membrane and display SARS-COV-2 trimers of stabilized pre-fusion S protein on their surface. The vaccine was administered as two intramuscular doses 21 days apart at three dose levels (S protein content 3.75, 7,5 or 15g) alone or adjuvanted with either CpG1018 or AS03. All formulations were well-tolerated although both adjuvants increased reactogenicity. Humoral (anti-S IgG and neutralizing antibodies) as well as cellular responses (IFNg and IL4 ELISpots) were detectable in almost all subjects who received adjuvanted formulations 21 days after the second dose at all COVLP dose levels. Both antibody and cellular responses were highest in subjects who received AS03-adjuvanted formulations. Even at the lowest dose level (3.75g), the neutralizing antibody titers 21 days after the second dose in subjects who received the AS03-afdjuvanted vaccine were 10-50-fold higher than those seen in subjects recovering from COVID-19 infection.

Implications of all the available evidenceEffective vaccines against SARS-CoV-2 are urgently needed to reduce the burden of disease and contribute to ending the global pandemic. Although no immune correlates for SARS-CoV-2 have been defined, it is likely that both arms of the immune system contribute to protection. After two doses of CoVLP (3.75g+AS03), strong humoral and cellular responses were induced supporting the further clinical development of this vaccine.",06/11/2020,10.1101/2020.11.04.20226282,Nathalie Landry,Medicago inc.,medrxiv,1,0
