,ID,title,abstract,date,doi,author_corresponding,author_corresponding_institution,source,eligible
42,10416,Phase 1/2 Study to Describe the Safety and Immunogenicity of a COVID-19 RNA Vaccine Candidate (BNT162b1) in Adults 18 to 55 Years of Age: Interim Report,"Abstract In March 2020, the WHO declared a pandemic of coronavirus disease 2019 (COVID-19), due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). With >8.8 million cases and >450,000 deaths reported globally, a vaccine is urgently needed. We report the available safety, tolerability, and immunogenicity data from an ongoing placebo-controlled, observer-blinded dose escalation study among healthy adults, 18-55 years of age, randomized to receive 2 doses, separated by 21 days, of 10 g, 30 g, or 100 g of BNT162b1, a lipid nanoparticle-formulated, nucleoside-modified, mRNA vaccine that encodes trimerized SARS-CoV-2 spike glycoprotein RBD. Local reactions and systemic events were dose-dependent, generally mild to moderate, and transient. RBD-binding IgG concentrations and SARS-CoV-2 neutralizing titers in sera increased with dose level and after a second dose. Geometric mean neutralizing titers reached 1.8- to 2.8-fold that of a panel of COVID-19 convalescent human sera. These results support further evaluation of this mRNA vaccine candidate.",01/07/2020,10.1101/2020.06.30.20142570,Judith Absalon,"Pfizer, Inc., Pearl River, NY",medrxiv,pubmed
86,32778225,"Development of an Inactivated Vaccine Candidate, BBIBP-CorV, with Potent Protection against SARS-CoV-2.","The coronavirus disease 2019 (COVID-19) pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) threatens global public health. The development of a vaccine is urgently needed for the prevention and control of COVID-19. Here, we report the pilot-scale production of an inactivated SARS-CoV-2 vaccine candidate (BBIBP-CorV) that induces high levels of neutralizing antibodies titers in mice, rats, guinea pigs, rabbits, and nonhuman primates (cynomolgus monkeys and rhesus maca",28/08/2020,10.1016/j.cell.2020.06.008,Hui Wang,"Beijing Institute of Biological Products Company Limited, Beijing, China",pubmed,NHP
105,32722908,Evaluation of the mRNA-1273 Vaccine against SARS-CoV-2 in Nonhuman Primates.,"Vaccines to prevent coronavirus disease 2019 (Covid-19) are urgently needed. The effect of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) vaccines on viral replication in both upper and lower airways is important to evaluate in nonhuman primates. Nonhuman primates received 10 or 100 ..g of mRNA-1273, a vaccine encoding the prefusion-stabilized spike protein of SARS-CoV-2, or no vaccine. Antibody and T-cell responses were assessed before upper- and lower-airway challenge with SARS-C",28/08/2020,10.1056/NEJMoa2024671,Kizzmekia S Corbett,"From the Vaccine Research Center (K.S.C., B. Flynn, K.E.F., J.R.F., S.B.-B., A.P.W., B. Flach, S. O'Connell, A.T.N., N.D., M.M.D., N.N.N., G.S.A., D.R.F., E.L., N.A.D.-R., B.C.L., M.K.L., S. O'Dell, S.D.S., E.P., L.A.C., C.Y., J.-P.M.T., W.S., Y.Z., O.M.A., L.W., A.P., E.S.Y., K.L., T.Z., I.-T.T., A.W., I.G., L.N., R.A.G., R.J.L., J.I.M., W.-P.K., K.M.M., T.J.R., J.E.L., M.R.G., P.D.K., J.R.M., A.M., N.J.S., M.R., R.A.S., B.S.G.), the Infectious Disease Pathogenesis Section (K.W.B., M.M., B.M.N., M.G.L.), and the Biostatistics Research Branch, Division of Clinical Research (M.C.N.), National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, and Bioqual (H.A., L.P., A.V.R., S.B., J.G., T.P.-T., A.S., T.-A.C., A. Cook, A.D., K.S., I.N.M.) and the Public Health Service Commissioned Corps (M.R.G.), Rockville - both in Maryland",pubmed,NHP
199,32511340,ChAdOx1 nCoV-19 vaccination prevents SARS-CoV-2 pneumonia in rhesus macaques.,"Severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) emerged in December 2019<sup>1,2</sup> and is responsible for the COVID-19 pandemic<sup>3</sup>. Vaccines are an essential countermeasure urgently needed to control the pandemic<sup>4</sup>. Here, we show that the adenovirus-vectored vaccine ChAdOx1 nCoV-19, encoding the spike protein of SARS-CoV-2, is immunogenic in mice, eliciting a robust humoral and cell-mediated response. This response was not Th2 dominated, as demonstrated by IgG",27/08/2020,10.1101/2020.05.13.093195,Neeltje van Doremalen,"Laboratory of Virology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Hamilton, MT, USA",pubmed,NHP
132,32663912,An mRNA Vaccine against SARS-CoV-2 - Preliminary Report.,"The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) emerged in late 2019 and spread globally, prompting an international effort to accelerate development of a vaccine. The candidate vaccine mRNA-1273 encodes the stabilized prefusion SARS-CoV-2 spike protein. We conducted a phase 1, dose-escalation, open-label trial including 45 healthy adults, 18 to 55 years of age, who received two vaccinations, 28 days apart, with mRNA-1273 in a dose of 25 ..g, 100 ..g, or 250 ..g. There were 15 p",25/07/2020,10.1056/NEJMoa2022483,Lisa A Jackson,"From Kaiser Permanente Washington Health Research Institute (L.A.J.) and the Center for Global Infectious Disease Research (CGIDR), Seattle Children's Research Institute (R.N.C.) - both in Seattle",pubmed,1
49,11472,Concurrent human antibody andTH1 type T-cell responses elicited by a COVID-19 RNA vaccine,"An effective vaccine is needed to halt the spread of the SARS-CoV-2 pandemic. Recently, we reported safety, tolerability and antibody response data from an ongoing placebo-controlled, observer-blinded phase 1/2 COVID-19 vaccine trial with BNT162b1, a lipid nanoparticle (LNP) formulated nucleoside-modified messenger RNA encoding the receptor binding domain (RBD) of the SARS-CoV-2 spike protein. Here we present antibody and T cell responses after BNT162b1 vaccination from a second, non-randomized open-label phase 1/2 trial in healthy adults, 18-55 years of age. Two doses of 1 to 50 g of BNT162b1 elicited robust CD4+ and CD8+ T cell responses and strong antibody responses, with RBD-binding IgG concentrations clearly above those in a COVID-19 convalescent human serum panel (HCS). Day 43 SARS-CoV-2 serum neutralising geometric mean titers were 0.7-fold (1 g) to 3.5-fold (50 g) those of HCS. Immune sera broadly neutralised pseudoviruses with diverse SARS-CoV-2 spike variants. Most participants had TH1 skewed T cell immune responses with RBD-specific CD8+ and CD4+ T cell expansion. Interferon (IFN){gamma} was produced by a high fraction of RBD-specific CD8+ and CD4+ T cells. The robust RBD-specific antibody, T-cell and favourable cytokine responses induced by the BNT162b1 mRNA vaccine suggest multiple beneficial mechanisms with potential to protect against COVID-19.",20/07/2020,10.1101/2020.07.17.20140533,Ugur Sahin,BioNTech,medrxiv,1
79,32789505,Effect of an Inactivated Vaccine Against SARS-CoV-2 on Safety and Immunogenicity Outcomes: Interim Analysis of 2 Randomized Clinical Trials.,"A vaccine against coronavirus disease 2019 (COVID-19) is urgently needed. To evaluate the safety and immunogenicity of an investigational inactivated whole-virus COVID-19 vaccine in China. In the phase 1 trial, 96 participants were assigned to 1 of the 3 dose groups (2.5, 5, and 10 ..g/dose) and an aluminum hydroxide (alum) adjuvant-only group (n...=...24 in each group), and received 3 intramuscular injections at days 0, 28, and 56. In the phase 2 trial, 224 adults were randomized to 5 ..g/dose ",16/09/2020,10.1001/jama.2020.15543,Shengli Xia,"Henan Center for Disease Control and Prevention, Zhengzhou, Henan, China",pubmed,1
57,12435,First-in-Human Trial of a SARS CoV 2 Recombinant Spike Protein Nanoparticle Vaccine,"Background NVX-CoV2373 is a recombinant nanoparticle vaccine composed of trimeric full-length SARS-CoV-2 spike glycoproteins. We present the Day 35 primary analysis of our trial of NVX-CoV2373 with or without the saponin-based Matrix-M1 adjuvant in healthy adults. Methods This is a randomized, observer-blinded, placebo-controlled, phase 1 trial in 131 healthy adults. Trial vaccination comprised two intramuscular injections, 21 days apart. Primary outcomes were reactogenicity, safety labs, and immunoglobulin G (IgG) anti-spike protein response. Secondary outcomes included adverse events, wild-type virus neutralizing antibody, and T-cell responses. Results Participants received NVX-CoV2373 with or without Matrix-M1 (n=106) or placebo (n=25). There were no serious adverse events. Reactogenicity was mainly mild in severity and of short duration (mean [&ge;] 2 days), with second vaccinations inducing greater local and systemic reactogenicity. The adjuvant significantly enhanced immune responses and was antigen dose-sparing, and the two-dose 5g NVX-CoV2373/Matrix-M1 vaccine induced mean anti-spike IgG and neutralizing antibody responses that exceeded the mean responses in convalescent sera from COVID-19 patients with clinically significant illnesses. The vaccine also induced antigen-specific T cells with a largely T helper 1 (Th1) phenotype. Conclusions NVX-CoV2373/Matrix-M1 was well tolerated and elicited robust immune responses (IgG and neutralization) four-fold higher than the mean observed in COVID-19 convalescent serum from participants with clinical symptoms requiring medical care and induced CD4+ T-cell responses biased toward a Th1 phenotype. These findings suggest that the vaccine may confer protection and support transition to efficacy evaluations to test this hypothesis. (Funded by the Coalition for Epidemic Preparedness Innovations; ClinicalTrials.gov number, NCT04368988).",06/08/2020,10.1101/2020.08.05.20168435,Cheryl Keech,"Novavax, Inc.",medrxiv,1
115,32702299,"Immunogenicity and safety of a recombinant adenovirus type-5-vectored COVID-19 vaccine in healthy adults aged 18 years or older: a randomised, double-blind, placebo-controlled, phase 2 trial.","This is the first randomised controlled trial for assessment of the immunogenicity and safety of a candidate non-replicating adenovirus type-5 (Ad5)-vectored COVID-19 vaccine, aiming to determine an appropriate dose of the candidate vaccine for an efficacy study. This randomised, double-blind, placebo-controlled, phase 2 trial of the Ad5-vectored COVID-19 vaccine was done in a single centre in Wuhan, China. Healthy adults aged 18 years or older, who were HIV-negative and previous severe acute re",24/08/2020,10.1016/S0140-6736(20)31605-6,Feng-Cai Zhu,"NHC Key Laboratory of Enteric Pathogenic Microbiology, Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, China. Electronic address: jszfc@vip.sina",pubmed,1
54,12535,"Immunogenicity and Safety of a SARS-CoV-2 Inactivated Vaccine in Healthy Adults Aged 18-59 years: Report of the Randomized, Double-blind, and Placebo-controlled Phase 2 Clinical Trial","BACKGROUND The top priority for the control of COVID-19 pandemic currently is the development of a vaccine. A phase 2 trial conducted to further evaluate the immunogenicity and safety of a SARS-CoV-2 inactivated vaccine (CoronaVac). METHODS We conducted a randomized, double-blind, placebo-controlled trial to evaluate the optimal dose, immunogenicity and safety of the CoronaVac. A total of 600 healthy adults aged 18-59 years were randomly assigned to receive 2 injections of the trial vaccine at a dose of 3 g/0.5 mL or 6 g /0.5mL, or placebo on Day 0,14 schedule or Day 0,28 schedule. For safety evaluation, solicited and unsolicited adverse events were collected after each vaccination within 7 days and 28 days, respectively. Blood samples were taken for antibody assay. RESULTS CoronaVac was well tolerated, and no dose-related safety concerns were observed. Most of the adverse reactions fell in the solicited category and were mild in severity. Pain at injection site was the most frequently reported symptoms. No Grade 3 adverse reaction or vaccine related SAEs were reported. CoronaVac showed good immunogenicity with the lower 3 g dose eliciting 92.4% seroconversion under Day 0,14 schedule and 97.4% under Day 0,28 schedule. 28 days after two-dose vaccination, the Nab levels of individual schedules range from 23.8 to 65.4 among different dosage and vaccination schedules. CONCLUSIONS Favorable safety and immunogenicity of CoronaVac was demonstrated on both schedules and both dosages, which support the conduction of phase 3 trial with optimum schedule/dosage per different scenarios.",10/08/2020,10.1101/2020.07.31.20161216,Feng-Cai Zhu,Jiangsu Provincial Center for Disease Control and Prevention,medrxiv,1
